Order ID,Order Date,YEAR,MONTH,Customer Name,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
CA-2011-103800,2011-01-04,2011,1,Darren Powers,Central,Office Supplies,Paper,16.45,2,0.20,5.55
CA-2011-112326,2011-01-05,2011,1,Phillina Ober,Central,Office Supplies,Labels,11.78,3,0.20,4.27
CA-2011-112326,2011-01-05,2011,1,Phillina Ober,Central,Office Supplies,Storage,272.74,3,0.20,-64.77
CA-2011-112326,2011-01-05,2011,1,Phillina Ober,Central,Office Supplies,Binders,3.54,2,0.80,-5.49
CA-2011-141817,2011-01-06,2011,1,Mick Brown,East,Office Supplies,Art,19.54,3,0.20,4.88
CA-2011-106054,2011-01-07,2011,1,Jack O'Briant,South,Office Supplies,Art,12.78,3,0.00,5.24
CA-2011-130813,2011-01-07,2011,1,Lycoris Saunders,West,Office Supplies,Paper,19.44,3,0.00,9.33
CA-2011-167199,2011-01-07,2011,1,Maria Etezadi,South,Furniture,Chairs,2573.82,9,0.00,746.41
CA-2011-167199,2011-01-07,2011,1,Maria Etezadi,South,Office Supplies,Binders,609.98,2,0.00,274.49
CA-2011-167199,2011-01-07,2011,1,Maria Etezadi,South,Office Supplies,Art,5.48,2,0.00,1.48
CA-2011-167199,2011-01-07,2011,1,Maria Etezadi,South,Technology,Phones,391.98,2,0.00,113.67
CA-2011-167199,2011-01-07,2011,1,Maria Etezadi,South,Technology,Phones,755.96,4,0.00,204.11
CA-2011-167199,2011-01-07,2011,1,Maria Etezadi,South,Office Supplies,Fasteners,31.12,4,0.00,0.31
CA-2011-167199,2011-01-07,2011,1,Maria Etezadi,South,Office Supplies,Paper,6.54,1,0.00,3.01
CA-2011-105417,2011-01-08,2011,1,Vivek Sundaresam,Central,Furniture,Furnishings,76.73,3,0.60,-53.71
CA-2011-105417,2011-01-08,2011,1,Vivek Sundaresam,Central,Office Supplies,Binders,10.43,7,0.80,-18.25
CA-2011-135405,2011-01-10,2011,1,Melanie Seite,Central,Office Supplies,Art,9.34,2,0.20,1.17
CA-2011-135405,2011-01-10,2011,1,Melanie Seite,Central,Technology,Accessories,31.20,3,0.20,9.75
CA-2011-149020,2011-01-11,2011,1,Anthony Jacobs,South,Office Supplies,Labels,2.89,1,0.00,1.36
CA-2011-149020,2011-01-11,2011,1,Anthony Jacobs,South,Furniture,Furnishings,51.94,1,0.00,21.30
CA-2011-130092,2011-01-12,2011,1,Seth Vernon,East,Furniture,Furnishings,9.94,2,0.00,3.08
CA-2011-109232,2011-01-14,2011,1,Natalie DeCherney,South,Furniture,Chairs,545.94,6,0.00,87.35
CA-2011-118192,2011-01-14,2011,1,Michael Moore,East,Office Supplies,Paper,37.41,7,0.20,13.09
CA-2011-118192,2011-01-14,2011,1,Michael Moore,East,Office Supplies,Binders,3.44,2,0.70,-2.52
CA-2011-157147,2011-01-14,2011,1,Brian Dahlen,West,Office Supplies,Storage,1325.85,5,0.00,238.65
CA-2011-157147,2011-01-14,2011,1,Brian Dahlen,West,Furniture,Bookcases,334.00,3,0.15,3.93
CA-2011-157147,2011-01-14,2011,1,Brian Dahlen,West,Office Supplies,Art,19.90,5,0.00,6.57
CA-2011-162775,2011-01-14,2011,1,Chris Selesnick,South,Office Supplies,Envelopes,11.36,2,0.00,5.34
CA-2011-162775,2011-01-14,2011,1,Chris Selesnick,South,Office Supplies,Envelopes,50.94,3,0.00,25.47
CA-2011-162775,2011-01-14,2011,1,Chris Selesnick,South,Technology,Accessories,646.74,6,0.00,258.70
CA-2011-162775,2011-01-14,2011,1,Chris Selesnick,South,Office Supplies,Binders,5.64,3,0.00,2.71
CA-2011-162775,2011-01-14,2011,1,Chris Selesnick,South,Office Supplies,Storage,572.58,6,0.00,34.35
CA-2011-149524,2011-01-15,2011,1,Brendan Sweed,East,Furniture,Bookcases,61.96,4,0.50,-53.29
CA-2011-103366,2011-01-16,2011,1,Erica Hackney,South,Technology,Accessories,149.95,5,0.00,65.98
CA-2011-115791,2011-01-17,2011,1,Delfina Latchford,East,Furniture,Furnishings,127.10,6,0.20,28.60
CA-2011-115791,2011-01-17,2011,1,Delfina Latchford,East,Technology,Phones,124.20,3,0.40,-31.05
CA-2011-115791,2011-01-17,2011,1,Delfina Latchford,East,Office Supplies,Binders,18.59,2,0.70,-13.63
CA-2011-115791,2011-01-17,2011,1,Delfina Latchford,East,Office Supplies,Labels,30.07,3,0.20,10.15
CA-2011-123477,2011-01-19,2011,1,David Wiener,West,Office Supplies,Appliances,64.86,4,0.20,6.49
CA-2011-146591,2011-01-20,2011,1,Toby Swindell,West,Office Supplies,Binders,32.34,10,0.70,-23.72
CA-2011-146591,2011-01-20,2011,1,Toby Swindell,West,Office Supplies,Paper,56.06,4,0.20,19.62
CA-2011-146591,2011-01-20,2011,1,Toby Swindell,West,Office Supplies,Envelopes,108.72,5,0.20,36.69
CA-2011-146591,2011-01-20,2011,1,Toby Swindell,West,Furniture,Bookcases,181.47,5,0.70,-320.60
CA-2011-148614,2011-01-21,2011,1,Mark Van Huff,West,Office Supplies,Paper,19.36,2,0.00,9.29
CA-2011-148614,2011-01-21,2011,1,Mark Van Huff,West,Furniture,Furnishings,19.30,2,0.00,5.79
CA-2011-167927,2011-01-21,2011,1,Xylona Preis,Central,Office Supplies,Storage,13.98,1,0.00,4.05
CA-2011-167927,2011-01-21,2011,1,Xylona Preis,Central,Furniture,Furnishings,272.94,3,0.00,30.02
CA-2011-167927,2011-01-21,2011,1,Xylona Preis,Central,Office Supplies,Binders,19.05,5,0.00,8.95
CA-2011-167927,2011-01-21,2011,1,Xylona Preis,Central,Office Supplies,Appliances,247.72,4,0.10,93.58
